"Linha" "Municipio" "Estado" "Ano" "POPULACAO" "PIB" "IPTU" "ISS" "ITBI"
"142" "Canoas" "RS" 2008 329903 14783276029 12269071.96 41467358.69 7366248.77
"143" "Cariacica" "ES" 2008 362277 3624615586 3721357.83 31564682.31 1863740.67
"144" "Cascavel" "PR" 2008 291747 4447739260 10767787.57 27510121.07 7679962.53
"145" "Caucaia" "CE" 2008 326811 1973209779 3216503.51 9585799.62 1367423.73
"146" "Caxias do Sul" "RS" 2008 405858 11804005925 27700354.72 74243058.52 25153396.39
"147" "Chapecó" "SC" 2008 171789 4295182776 9326743.25 19160628.71 3706041.69
"148" "Contagem" "MG" 2008 617749 14963433900 20217253.81 58685844.26 18597731.96
"149" "Criciúma" "SC" 2008 187018 2790760270 4427371.82 16802938.69 3427895.76
"150" "Cuiabá" "MT" 2008 544737 8951985485 17943047 99536401.56 9767264.67
"151" "Curitiba" "PR" 2008 1828092 43354307444 267910380.4 472248919.5 111147407.1
"152" "Diadema" "SP" 2008 394266 9311665987 57682045.52 44997423.84 3596134.48
"153" "Divinópolis" "MG" 2008 213277 2960161533 10869815.58 15246315.53 3440229.05
"154" "Dourados" "MS" 2008 187601 2871802490 16100042.47 18845815.26 4209666.63
"155" "Feira de Santana" "BA" 2008 584497 5379290721 9722768.61 6631517.14 3135835.3
"156" "Florianópolis" "SC" 2008 402346 8125540524 89954295.89 105460816.7 32743456.32
"157" "Fortaleza" "CE" 2008 2473614 28769258767 98748371.11 256730308.6 47023142.54
"158" "Foz do Iguaçu" "PR" 2008 319189 6230059111 10902916.36 20336160.72 4061911.81
"159" "Franca" "SP" 2008 327176 3777447663 32408439.2 23056617.64 4350676.96
"160" "Goiânia" "GO" 2008 1265394 19456021465 205626284 233210855 72181899.47
"161" "Governador Valadares" "MG" 2008 261981 2587223019 8893836 19513012 3404363
"162" "Gravataí" "RS" 2008 266230 5088837159 6104525.77 13552566.23 3121618.32
"163" "Guarujá" "SP" 2008 304274 3218814552 170349939.2 66121730 16179952.55
"164" "Guarulhos" "SP" 2008 1279202 31936894971 186386958 129016560.8 20233047.15
"165" "Hortolândia" "SP" 2008 201049 4799491707 10454668 58720198 2448146
"166" "Indaiatuba" "SP" 2008 180524 4593993873 36502344.07 23240314.49 9158238.29
"167" "Ipatinga" "MG" 2008 241720 6169205291 18961504.07 34647222.75 4300810.48
"168" "Itaboraí" "RJ" 2008 225309 1711362260 6586458.89 10353539.92 2087663.83
"169" "Itabuna" "BA" 2008 212245 1984092770 2435894.47 11704865.43 1085603.55
"170" "Itajaí" "SC" 2008 169927 10169928691 13448987.41 40632975.45 4186860.22
"171" "Itaquaquecetuba" "SP" 2008 351493 2546995489 15713472.69 15076290.41 2726896.54
"172" "Jaboatão dos Guararapes" "PE" 2008 678346 6403713901 33174314.97 27599814.19 5221585.81
"173" "Jacareí" "SP" 2008 210988 4308232427 19368070.8 23355858.65 3242883.28
"174" "João Pessoa" "PB" 2008 693082 7658165127 24292422.04 79142358.64 24224604.1
"175" "Joinville" "SC" 2008 492101 13219944848 48438060.85 72749693.54 11114662.53
"176" "Juazeiro" "BA" 2008 237627 1471189328 590146.4 8057238.47 748728.82
"177" "Juazeiro do Norte" "CE" 2008 246515 1413194135 1506838.49 4288913.7 986448.33
"178" "Juiz de Fora" "MG" 2008 520612 7129726510 48234627.44 65907945.86 10689247.72
"179" "Jundiaí" "SP" 2008 347738 15168171710 51587892.2 105864286.4 16348244.24
"180" "Londrina" "PR" 2008 505184 8046053667 64931318.36 60164607.22 16181065.11
"181" "Macapá" "AP" 2008 359020 4282877460 2673552.18 19228605.82 803941.31
"182" "Maceió" "AL" 2008 924143 9125210289 39946135.8 73801483.7 15262008.56
"183" "Manaus" "AM" 2008 1709010 38028945028 50132259.68 287010001.4 17499346.66
"184" "Marabá" "PA" 2008 199946 3594594367 1180621.78 36375324.89 369143.94
"185" "Maracanaú" "CE" 2008 199808 3142945244 1538141.23 7624885.96 464888.35
"186" "Marília" "SP" 2008 223454 3033939043 20494328 16181531 7092605
"187" "Maringá" "PR" 2008 331412 6160298338 39042590.27 46056942.34 15012614.91
"188" "Mauá" "SP" 2008 412753 5676424973 35213913.77 37968888.13 1495301.1
"189" "Mossoró" "RN" 2008 241645 2655949734 1458120.32 33533342.31 901957.57
"190" "Natal" "RN" 2008 798065 8858669341 31241936.11 127533568.1 22104657.72
"191" "Niterói" "RJ" 2008 477912 9293713623 143274537.6 108981548 37041744.48
"192" "Nova Iguaçu" "RJ" 2008 855500 8473572282 23435464.32 41440502.47 5986458.49
"193" "Novo Hamburgo" "RS" 2008 255945 4336207209 17488735.42 28098182.26 6118210.95
"194" "Olinda" "PE" 2008 394850 2374137333 9006059.79 24522408.08 2044508.02
"195" "Osasco" "SP" 2008 713066 30067523303 104897019.1 157494876.6 14088606.04
"196" "Palmas" "TO" 2008 184010 2613945869 4401323.52 27208314.58 4244573.31
"197" "Paulista" "PE" 2008 314302 1613792273 4147565.19 8310320.43 1571100.75
"198" "Pelotas" "RS" 2008 343167 3500008011 17624184.29 16405641.46 5217409.73
"199" "Petrolina" "PE" 2008 276174 2362785456 3148185.14 13263194.58 2199115.53
"200" "Petrópolis" "RJ" 2008 312766 5776308823 37002025 51684297 5774599
"201" "Piracicaba" "SP" 2008 365440 8832622338 36017350.45 67648452.4 9579139.27
"202" "Ponta Grossa" "PR" 2008 311106 5024151023 16798766.19 23762060.61 5734197.95
"203" "Porto Alegre" "RS" 2008 1430220 35844547293 242748390.3 382864481.1 125996893.5
"204" "Porto Velho" "RO" 2008 379186 5066906445 5645082.5 41373741.44 3627909.44
"205" "Praia Grande" "SP" 2008 244533 2333754570 130269605.3 13263055.85 15247270.55
"206" "Presidente Prudente" "SP" 2008 206164 3181609760 20191414.1 19311040.7 4624641.41
"207" "Recife" "PE" 2008 1549980 22470885584 158964089.1 312317388 32646758.28
"208" "Ribeirão das Neves" "MG" 2008 340033 1499412411 2717022.37 3501007.21 921832.76
"209" "Ribeirão Preto" "SP" 2008 558136 13843410905 76239955.6 87425194.86 29728770.75
"210" "Rio Branco" "AC" 2008 301398 3547941585 6405036.58 20414222.88 1152392.58
"211" "Rio de Janeiro" "RJ" 2008 6161047 158757286166 1192568605 2446750928 344239349.6
"212" "Rio Grande" "RS" 2008 195582 6302581400 6378686.38 33555237.33 2351471.92
"213" "Rio Verde" "GO" 2008 158818 3613833990 8707597.81 11810106.59 4659621.55
"214" "Rondonópolis" "MT" 2008 179094 4354015439 7699884.35 22223810.17 3628703.21
"215" "Salvador" "BA" 2008 2948733 29393080832 148554616.6 395820573.3 86696342.34
